alpha,g,epoch,task_id,train_loss,train_acc,task_1_acc,task_2_acc,task_3_acc,task_4_acc,task_5_acc
2.0,0.25,1,1,2.3025847495870386,0.47108333333333335,0.4755000174045563,,,,
2.0,0.25,2,1,2.302584711541521,0.47125,0.47600001096725464,,,,
2.0,0.25,3,1,2.302584741977935,0.47125,0.47600001096725464,,,,
2.0,0.25,4,1,2.302584729296096,0.47125,0.4765000343322754,,,,
2.0,0.25,5,1,2.3025847216869924,0.4716666666666667,0.4765000343322754,,,,
2.0,0.25,6,1,2.3025846963233136,0.4718333333333333,0.47700002789497375,,,,
2.0,0.25,7,1,2.3025847546597746,0.47191666666666665,0.47700002789497375,,,,
2.0,0.25,8,1,2.302584701396049,0.47208333333333335,0.47700002789497375,,,,
2.0,0.25,9,1,2.3025846988596816,0.4723333333333333,0.47700002789497375,,,,
2.0,0.25,10,1,2.3025846658868994,0.47291666666666665,0.47700002789497375,,,,
2.0,0.25,11,1,2.3025846836414745,0.47308333333333336,0.47700002789497375,,,,
2.0,0.25,12,1,2.3025847216869924,0.47333333333333333,0.4775000214576721,,,,
2.0,0.25,13,1,2.3025846633505314,0.47341666666666665,0.4775000214576721,,,,
2.0,0.25,14,1,2.30258465320506,0.47341666666666665,0.4780000150203705,,,,
2.0,0.25,15,1,2.3025846937869456,0.4735,0.4780000150203705,,,,
2.0,0.25,16,1,2.3025846937869456,0.47391666666666665,0.4780000150203705,,,,
2.0,0.25,17,1,2.3025846379868526,0.4745,0.4780000150203705,,,,
2.0,0.25,18,1,2.302584703932417,0.47475,0.4780000150203705,,,,
2.0,0.25,19,1,2.302584714077889,0.47483333333333333,0.4780000150203705,,,,
2.0,0.25,20,1,2.302584670959635,0.47483333333333333,0.4780000150203705,,,,
2.0,0.25,21,1,2.302584620232278,0.47491666666666665,0.4780000150203705,,,,
2.0,0.25,22,1,2.302584655741428,0.475,0.4780000150203705,,,,
2.0,0.25,23,1,2.3025846506686922,0.47508333333333336,0.4780000150203705,,,,
2.0,0.25,24,1,2.302584668423267,0.47508333333333336,0.47850000858306885,,,,
2.0,0.25,25,1,2.302584645595956,0.47525,0.47850000858306885,,,,
2.0,0.25,26,1,2.302584686177842,0.47541666666666665,0.47850000858306885,,,,
2.0,0.25,27,1,2.302584645595956,0.47558333333333336,0.47850000858306885,,,,
2.0,0.25,28,1,2.3025845948685992,0.47558333333333336,0.47850000858306885,,,,
2.0,0.25,29,1,2.302584658277796,0.4756666666666667,0.47850000858306885,,,,
2.0,0.25,30,1,2.3025846227686455,0.47575,0.47850000858306885,,,,
2.0,0.25,1,2,2.3025863551078958,0.00016666666666666666,0.47850000858306885,0.0005000000237487257,,,
2.0,0.25,2,2,2.302586352571528,0.00016666666666666666,0.47850000858306885,0.0005000000237487257,,,
2.0,0.25,3,2,2.3025863551078958,0.00016666666666666666,0.47850000858306885,0.0005000000237487257,,,
2.0,0.25,4,2,2.302586400762517,0.00016666666666666666,0.47850000858306885,0.0005000000237487257,,,
2.0,0.25,5,2,2.3025863373533206,0.00016666666666666666,0.47850000858306885,0.0005000000237487257,,,
2.0,0.25,6,2,2.302586372862471,0.00016666666666666666,0.47850000858306885,0.0005000000237487257,,,
2.0,0.25,7,2,2.3025863627169993,0.00016666666666666666,0.47850000858306885,0.0005000000237487257,,,
2.0,0.25,8,2,2.302586357644264,0.00016666666666666666,0.47850000858306885,0.0005000000237487257,,,
2.0,0.25,9,2,2.3025863652533674,0.00016666666666666666,0.47850000858306885,0.0005000000237487257,,,
2.0,0.25,10,2,2.302586372862471,0.00016666666666666666,0.47850000858306885,0.0005000000237487257,,,
2.0,0.25,11,2,2.302586344962424,0.00016666666666666666,0.47850000858306885,0.0005000000237487257,,,
2.0,0.25,12,2,2.302586347498792,0.00016666666666666666,0.47850000858306885,0.0005000000237487257,,,
2.0,0.25,13,2,2.302586375398839,0.00016666666666666666,0.47850000858306885,0.0005000000237487257,,,
2.0,0.25,14,2,2.3025863956897816,0.00016666666666666666,0.47850000858306885,0.0005000000237487257,,,
2.0,0.25,15,2,2.302586370326103,0.00016666666666666666,0.47850000858306885,0.0005000000237487257,,,
2.0,0.25,16,2,2.3025863804715745,0.00016666666666666666,0.47850000858306885,0.0005000000237487257,,,
2.0,0.25,17,2,2.302586370326103,0.00016666666666666666,0.47850000858306885,0.0005000000237487257,,,
2.0,0.25,18,2,2.302586370326103,0.00016666666666666666,0.47850000858306885,0.0005000000237487257,,,
2.0,0.25,19,2,2.3025863652533674,0.00016666666666666666,0.47850000858306885,0.0005000000237487257,,,
2.0,0.25,20,2,2.302586372862471,0.00016666666666666666,0.47850000858306885,0.0005000000237487257,,,
2.0,0.25,21,2,2.302586370326103,0.00016666666666666666,0.47850000858306885,0.0005000000237487257,,,
2.0,0.25,22,2,2.302586375398839,0.00016666666666666666,0.47850000858306885,0.0005000000237487257,,,
2.0,0.25,23,2,2.3025863830079425,0.00016666666666666666,0.47850000858306885,0.0005000000237487257,,,
2.0,0.25,24,2,2.302586390617046,0.00016666666666666666,0.47850000858306885,0.0005000000237487257,,,
2.0,0.25,25,2,2.3025863830079425,0.00016666666666666666,0.47850000858306885,0.0005000000237487257,,,
2.0,0.25,26,2,2.3025863398896886,0.00016666666666666666,0.47850000858306885,0.0005000000237487257,,,
2.0,0.25,27,2,2.3025863652533674,0.00016666666666666666,0.47850000858306885,0.0005000000237487257,,,
2.0,0.25,28,2,2.302586329744217,0.00016666666666666666,0.47850000858306885,0.0005000000237487257,,,
2.0,0.25,29,2,2.302586347498792,0.00016666666666666666,0.47850000858306885,0.0005000000237487257,,,
2.0,0.25,30,2,2.302586347498792,0.00016666666666666666,0.47850000858306885,0.0005000000237487257,,,
2.0,0.25,1,3,2.302584947423732,0.03966666666666667,0.47850000858306885,0.0005000000237487257,0.042500000447034836,,
2.0,0.25,2,3,2.302584927132789,0.03966666666666667,0.47850000858306885,0.0005000000237487257,0.042500000447034836,,
2.0,0.25,3,3,2.302584927132789,0.03966666666666667,0.47850000858306885,0.0005000000237487257,0.042500000447034836,,
2.0,0.25,4,3,2.3025849347418927,0.03966666666666667,0.47850000858306885,0.0005000000237487257,0.042500000447034836,,
2.0,0.25,5,3,2.302584911914582,0.03966666666666667,0.47850000858306885,0.0005000000237487257,0.042500000447034836,,
2.0,0.25,6,3,2.302584924596421,0.03966666666666667,0.47850000858306885,0.0005000000237487257,0.042500000447034836,,
2.0,0.25,7,3,2.3025849220600536,0.03966666666666667,0.47850000858306885,0.0005000000237487257,0.042500000447034836,,
2.0,0.25,8,3,2.3025849195236856,0.03966666666666667,0.47850000858306885,0.0005000000237487257,0.042500000447034836,,
2.0,0.25,9,3,2.302584924596421,0.03966666666666667,0.47850000858306885,0.0005000000237487257,0.042500000447034836,,
2.0,0.25,10,3,2.3025849169873176,0.03966666666666667,0.47850000858306885,0.0005000000237487257,0.042500000447034836,,
2.0,0.25,11,3,2.302584911914582,0.03966666666666667,0.47850000858306885,0.0005000000237487257,0.042500000447034836,,
2.0,0.25,12,3,2.302584924596421,0.03966666666666667,0.47850000858306885,0.0005000000237487257,0.042500000447034836,,
2.0,0.25,13,3,2.3025849322055247,0.03966666666666667,0.47850000858306885,0.0005000000237487257,0.042500000447034836,,
2.0,0.25,14,3,2.3025849347418927,0.03966666666666667,0.47850000858306885,0.0005000000237487257,0.042500000447034836,,
2.0,0.25,15,3,2.3025849398146283,0.03966666666666667,0.47850000858306885,0.0005000000237487257,0.042500000447034836,,
2.0,0.25,16,3,2.302584929669157,0.03966666666666667,0.47850000858306885,0.0005000000237487257,0.042500000447034836,,
2.0,0.25,17,3,2.3025849220600536,0.03966666666666667,0.47850000858306885,0.0005000000237487257,0.042500000447034836,,
2.0,0.25,18,3,2.3025849195236856,0.03966666666666667,0.47850000858306885,0.0005000000237487257,0.042500000447034836,,
2.0,0.25,19,3,2.3025849448873643,0.03966666666666667,0.47850000858306885,0.0005000000237487257,0.042500000447034836,,
2.0,0.25,20,3,2.3025849347418927,0.03966666666666667,0.47850000858306885,0.0005000000237487257,0.042500000447034836,,
2.0,0.25,21,3,2.302584906841846,0.03966666666666667,0.47850000858306885,0.0005000000237487257,0.042500000447034836,,
2.0,0.25,22,3,2.3025849448873643,0.03966666666666667,0.47850000858306885,0.0005000000237487257,0.042500000447034836,,
2.0,0.25,23,3,2.3025849372782607,0.03966666666666667,0.47850000858306885,0.0005000000237487257,0.042500000447034836,,
2.0,0.25,24,3,2.302584952496468,0.03966666666666667,0.47850000858306885,0.0005000000237487257,0.042500000447034836,,
2.0,0.25,25,3,2.3025849195236856,0.03966666666666667,0.47850000858306885,0.0005000000237487257,0.042500000447034836,,
2.0,0.25,26,3,2.302584911914582,0.03966666666666667,0.47850000858306885,0.0005000000237487257,0.042500000447034836,,
2.0,0.25,27,3,2.3025849169873176,0.03966666666666667,0.47850000858306885,0.0005000000237487257,0.042500000447034836,,
2.0,0.25,28,3,2.3025849575692034,0.03966666666666667,0.47850000858306885,0.0005000000237487257,0.042500000447034836,,
2.0,0.25,29,3,2.302584909378214,0.03966666666666667,0.47850000858306885,0.0005000000237487257,0.042500000447034836,,
2.0,0.25,30,3,2.302584906841846,0.03966666666666667,0.47850000858306885,0.0005000000237487257,0.042500000447034836,,
2.0,0.25,1,4,2.3025851427240576,0.00325,0.47850000858306885,0.0005000000237487257,0.042500000447034836,0.004500000271946192,
2.0,0.25,2,4,2.302585145260425,0.00325,0.47850000858306885,0.0005000000237487257,0.042500000447034836,0.004500000271946192,
