alpha,g,epoch,task_id,train_loss,train_acc,task_1_acc,task_2_acc,task_3_acc,task_4_acc,task_5_acc,layer_0_rank,layer_1_rank,layer_2_rank,layer_3_rank,layer_4_rank,layer_5_rank,layer_6_rank,layer_7_rank,layer_8_rank,layer_9_rank,total_rank_sum
1.2,1.0,1,1,2.0438825247531875,0.9413333333333334,0.999000072479248,,,,,,,,,,,,,,,
1.2,1.0,2,1,0.0041119796186784635,0.9988333333333334,0.999500036239624,,,,,,,,,,,,,,,
1.2,1.0,3,1,0.002313942414091682,0.9994166666666666,0.999500036239624,,,,,,,,,,,,,,,
1.2,1.0,4,1,0.0016339886144046336,0.9995833333333334,0.999500036239624,,,,,,,,,,,,,,,
1.2,1.0,5,1,0.0012556983260475,0.99975,0.999500036239624,,,,,,,,,,,,,,,
1.2,1.0,6,1,0.001039775892190556,0.9998333333333334,1.0,,,,,,,,,,,,,,,
1.2,1.0,7,1,0.0008016104612250545,0.9998333333333334,1.0,,,,,,,,,,,,,,,
1.2,1.0,8,1,0.0006226510931229952,0.9998333333333334,1.0,,,,,,,,,,,,,,,
1.2,1.0,9,1,0.000526711864330672,0.9998333333333334,1.0,,,,,,,,,,,,,,,
1.2,1.0,10,1,0.00045236154782035925,0.9998333333333334,1.0,,,,,,,,,,,,,,,
1.2,1.0,11,1,0.0003930504577859191,0.9998333333333334,1.0,,,,,,,,,,,,,,,
1.2,1.0,12,1,0.0003499052640728088,0.9998333333333334,1.0,,,,,,,,,,,,,,,
1.2,1.0,13,1,0.0003065421153726849,0.9999166666666667,1.0,,,,,,,,,,,,,,,
1.2,1.0,14,1,0.0002699931848179945,0.9998333333333334,1.0,,,,,,,,,,,,,,,
1.2,1.0,15,1,0.0002410081998916328,1.0,1.0,,,,,,,,,,,,,,,
1.2,1.0,16,1,0.00021190967629778205,1.0,1.0,,,,,,,,,,,,,,,
1.2,1.0,17,1,0.00019432551804090915,1.0,1.0,,,,,,,,,,,,,,,
1.2,1.0,18,1,0.00017548473645915015,1.0,1.0,,,,,,,,,,,,,,,
1.2,1.0,19,1,0.00016070022674613668,1.0,1.0,,,,,,,,,,,,,,,
1.2,1.0,20,1,0.0001458361238040565,1.0,1.0,,,,,74.0,66.0,54.0,45.0,34.0,29.0,21.0,18.0,15.0,14.0,370.0
1.2,1.0,1,2,13.979191678635617,0.0,1.0,0.0,,,,,,,,,,,,,,
1.2,1.0,2,2,10.52258388539578,0.034083333333333334,1.0,0.30300000309944153,,,,,,,,,,,,,,
1.2,1.0,3,2,7.373611328449655,0.40308333333333335,0.999500036239624,0.429500013589859,,,,,,,,,,,,,,
1.2,1.0,4,2,6.568830383584855,0.45258333333333334,0.9985000491142273,0.4580000340938568,,,,,,,,,,,,,,
1.2,1.0,5,2,5.491054124020516,0.47608333333333336,0.9935000538825989,0.4985000193119049,,,,,,,,,,,,,,
1.2,1.0,6,2,4.303466890720611,0.553,0.9875000715255737,0.6035000085830688,,,,,,,,,,,,,,
1.2,1.0,7,2,3.242085127120322,0.6436666666666667,0.9780000448226929,0.6740000247955322,,,,,,,,,,,,,,
1.2,1.0,8,2,2.1822584727977183,0.7125,0.9655000567436218,0.7410000562667847,,,,,,,,,,,,,,
